track id,date of event,grand prix name,fastest lap time (holder),laps,flag,country,track photo,detailed track,circuit length
1,02/03/2024,Formula 1 Gulf Air Bahrain Grand Prix,1:31.447 (Pedro de la Rosa (2005)),57,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png,Bahrain,w,w,w
2,09/03/2024,Formula 1 STC Saudi Arabian Grand Prix ,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/saudi-arabia-flag.png,Saudi Arabia,w,w,w
3,24/03/2024,Formula 1 Rolex Australian Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag.png,Australia,w,w,w
4,07/04/2024,Formula 1 MSC Cruises Japanese Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/japan-flag.png,Japan,w,w,w
5,21/04/2024,Formula 1 Lenovo Chinese Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/china-flag.png,China,w,w,w
6,05/05/2024,Formula 1 Crypto.com Miami Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,Miami,w,w,w
7,19/05/2024,"Formula 1 MSC Cruises Gran Premio Del Made In Italy E Dell'Emilia-Romagna",w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png,Emilia-Romagna,w,w,w
8,26/05/2024,Formula 1 Grand Prix De Monaco,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/monaco-flag.png,Monaco,w,w,w
9,09/06/2024,Formula 1 AWS Grand Prix Du Canada,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/canada-flag.png,Canada,w,w,w
10,23/06/2024,Formula 1 Aramco Gran Premio De España,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/spain-flag.png,Spain,w,w,w
11,30/06/2024,Formula 1 Qatar Airways Austrian Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/austria-flag.png,Austria,w,w,w
12,07/07/2024,Formula 1 Qatar Airways British Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,Great Britian,w,w,w
13,21/07/2024,Formula 1 Hungarian Grand Prix ,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/hungary-flag.png,Hungary,w,w,w
14,28/07/2024,Formula 1 Rolex Belgian Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/belgium-flag.png,Belgium,w,w,w
15,25/08/2024,Formula 1 Heineken Dutch Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/netherlands-flag.png,Netherlands,w,w,w
16,01/09/2024,"Formula 1 Pirelli Gran Premio D'Italia",w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png,Italy,w,w,w
17,15/09/2024,Formula 1 Qatar Airways Azerbaijan Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/azerbaijan-flag.png,Azerbaijan,w,w,w
18,22/09/2024,Formula 1 Singapore Airlines Singapore Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/singapore-flag.png,Singapore,w,w,ww
19,20/10/2024,Formula 1 Pirelli United States Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,United States,w,w,w
20,27/10/2024,Formula 1 Gran Premio De La Ciudad De México,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/mexico-flag.png,Mexico,ww,w,w
21,03/11/2024,Formula 1 Lenovo Grande Prêmio De São Paulo,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/brazil-flag.png,Brazil,w,w,w
22,23/11/2024,Formula 1 Heineken Silver Las Vegas Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,Las Vegas,w,w,w
23,01/12/2024,Formula 1 Qatar Airways Qatar Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/qatar-flag.png,Qatar,w,w,w
24,08/12/2024,Formula 1 Etihad Airways Abu Dhabi Grand Prix,w,w,https://media.formula1.com/image/upload/f_auto/q_auto/v1677244973/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/abu-dhabi-flag.png,Abu Dhabi,w,w,w